indiv,length,bendingPts,stress,stiffness
Av05,75,0.4000,45974.98,191.0309152
Av05,75,0.4800,25248.65,60.80875646
Av05,75,0.5867,62928.35,102.4432201
Av05,75,0.6800,57023.88,82.04672547
Av05,75,0.7867,175781.97,152.8477397
Av05,75,0.9067,930907.30,469.7387032
Av06,91,0.4396,54004.64,229.8552443
Av06,91,0.5714,90967.29,231.5256088
Av06,91,0.7582,121177.59,130.4415385
Av06,91,0.9780,88320.46,45.09462479
AV07,103,0.4563,0.00,0
AV07,103,0.5728,0.00,0
AV07,103,0.6990,0.00,0
AV07,103,0.8155,0.00,0
AV07,103,0.9320,0.00,0
AV08,44,0.5455,77159.44,82.41357514
AV08,44,0.7045,25386.92,16.64647696
AV08,44,0.9091,109257.44,26.93005442
AV09,52,0.4231,83784.41,232.3010635
AV09,52,0.6346,13229.21,17.55284137
AV09,52,0.8077,22067.64,11.09101869
Av10,40,0.4500,151117.32,261.0101075
Av10,40,0.7000,144123.46,90.3696358
Av10,40,0.9750,46811.52,10.7165099
Av11,55,0.5273,58030.60,85.27654258
Av11,55,0.6727,127338.83,116.9886026
Av11,55,0.8727,20497.96,7.719230179
Av12,112,0.4464,121632.97,929.9805769
Av12,112,0.5357,128436.18,674.4668956
Av12,112,0.6250,191061.45,655.2911993
Av12,112,0.7143,259823.62,571.9984927
Av12,112,0.8125,698793.61,864.0863363
Av12,112,0.9732,329667.85,242.7216714
Av13,155,0.4387,23470.88,248.3588977
Av13,155,0.5290,48665.25,365.0254669
Av13,155,0.6258,135095.96,699.0058088
Av13,155,0.7032,95401.94,374.773707
Av13,155,0.7871,210331.89,450.384384
Av13,155,0.8710,285064.06,520.851927
Av13,155,0.9677,413207.42,480.0504766
Av14,162,0.4321,36375.50,876.91414
Av14,162,0.5123,85653.94,1208.501396
Av14,162,0.5926,92271.83,879.3694367
Av14,162,0.6605,98665.64,702.0645792
Av14,162,0.7407,213920.09,1036.150127
Av14,162,0.8025,342954.42,1180.797791
Av14,162,0.8765,429575.93,967.8013557
Av14,162,0.9568,443275.34,654.9717625
Av15,148,0.4257,29334.58,386.3148281
Av15,148,0.5068,77551.29,714.0723639
Av15,148,0.6081,58763.60,377.1033654
Av15,148,0.6959,121672.08,551.8152517
Av15,148,0.7770,250646.64,737.3528281
Av15,148,0.8784,297014.93,488.6073463
Av16,140,0.4500,40394.75,392.2312512
Av16,140,0.5214,95750.49,670.3212626
Av16,140,0.6286,98189.61,451.8805995
Av16,140,0.7143,260029.52,745.9581994
Av16,140,0.8071,225456.14,360.0933834
Av16,140,0.9357,299902.82,253.0628311
Av17,143,0.4476,49282.56,722.9598446
Av17,143,0.5455,31974.62,267.9293362
Av17,143,0.6364,121231.13,683.9022009
Av17,143,0.7343,223805.47,777.1523287
Av17,143,0.8042,308815.32,751.5566675
Av17,143,0.8741,342363.83,617.9511091
Av17,143,0.9790,125776.86,203.7294473
Av18,144,0.4097,72460.94,917.1061305
Av18,144,0.5208,72986.83,498.359599
Av18,144,0.6111,155891.20,741.9780582
Av18,144,0.7292,133033.43,334.0071859
Av18,144,0.8333,271487.97,424.2404303
Av18,144,0.9028,146037.76,160.49181
Av19,146,0.4041,69330.24,806.022994
Av19,146,0.5205,108860.47,829.5387779
Av19,146,0.6233,224871.23,1105.972994
Av19,146,0.7123,266891.01,791.4999959
Av19,146,0.8151,497285.41,873.9605011
Av19,146,0.9247,763490.24,712.9526684
Av20,143,0.4476,35448.61,433.0911379
Av20,143,0.5385,60195.29,479.0207781
Av20,143,0.6573,101920.14,496.6737473
Av20,143,0.7413,162927.24,490.031385
Av20,143,0.8182,403370.74,851.9667978
Av20,143,0.9091,345948.65,480.8748095
